11:37:40.864462 config: drop-rate=0.20, max-delay=10ms, seed=1
20:26:08.846618 [queue=1] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delayed for 1.1ms
20:26:08.848249 [queue=0] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delivered
20:26:13.850600 [queue=1] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delayed for 8.9ms
20:26:13.860856 [queue=0] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delivered
20:26:18.854675 [queue=1] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delayed for 7.4ms
20:26:18.863529 [queue=0] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delivered
20:48:10.108185 config: drop-rate=0.00, max-delay=10ms, seed=1
20:48:10.108633 router is listening at :3000
20:48:22.318429 [queue=1] packet #2, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
20:48:22.328643 [queue=0] packet #2, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=9 is delivered
20:48:22.329164 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:51714, sz=17 is delayed for 5.9ms
20:48:22.336193 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:51714, sz=17 is delivered
20:48:22.337551 [queue=1] packet #4, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=17 is delayed for 1.8ms
20:48:22.340005 [queue=0] packet #4, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=17 is delivered
20:48:27.342086 [queue=1] packet #0, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=31 is delayed for 4ms
20:48:27.347205 [queue=0] packet #0, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=31 is delivered
20:48:32.346117 [queue=1] packet #0, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=31 is delayed for 0s
20:48:32.346406 [queue=0] packet #0, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=31 is delivered
20:48:37.350159 [queue=1] packet #0, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=31 is delayed for 1.1ms
20:48:37.351608 [queue=0] packet #0, 127.0.0.1:51714 -> 127.0.0.1:8080, sz=31 is delivered
